DATE,AUENSA
1993-01-01,30.2
1993-02-01,42.5
1993-03-01,57.4
1993-04-01,47.6
1993-05-01,51.7
1993-06-01,42.5
1993-07-01,17.7
1993-08-01,27.1
1993-09-01,40.3
1993-10-01,44.0
1993-11-01,44.7
1993-12-01,46.5
1994-01-01,44.9
1994-02-01,55.8
1994-03-01,67.6
1994-04-01,60.4
1994-05-01,59.9
1994-06-01,48.9
1994-07-01,25.8
1994-08-01,35.6
1994-09-01,47.1
1994-10-01,41.0
1994-11-01,46.5
1994-12-01,52.7
1995-01-01,45.2
1995-02-01,50.0
1995-03-01,58.6
1995-04-01,46.9
1995-05-01,50.4
1995-06-01,39.1
1995-07-01,27.1
1995-08-01,30.4
1995-09-01,35.7
1995-10-01,43.8
1995-11-01,40.6
1995-12-01,53.2
1996-01-01,41.8
1996-02-01,47.4
1996-03-01,51.7
1996-04-01,45.2
1996-05-01,50.1
1996-06-01,37.0
1996-07-01,26.9
1996-08-01,39.7
1996-09-01,48.9
1996-10-01,48.1
1996-11-01,43.1
1996-12-01,46.3
1997-01-01,31.1
1997-02-01,47.9
1997-03-01,58.0
1997-04-01,52.7
1997-05-01,61.1
1997-06-01,51.6
1997-07-01,21.0
1997-08-01,41.2
1997-09-01,38.1
1997-10-01,50.0
1997-11-01,42.2
1997-12-01,34.8
1998-01-01,39.6
1998-02-01,43.4
1998-03-01,56.7
1998-04-01,49.0
1998-05-01,47.3
1998-06-01,38.3
1998-07-01,17.8
1998-08-01,37.6
1998-09-01,40.8
1998-10-01,44.8
1998-11-01,55.4
1998-12-01,38.9
1999-01-01,32.4
1999-02-01,52.6
1999-03-01,60.1
1999-04-01,55.2
1999-05-01,53.2
1999-06-01,44.9
1999-07-01,27.4
1999-08-01,42.0
1999-09-01,43.2
1999-10-01,48.0
1999-11-01,58.9
1999-12-01,40.1
2000-01-01,44.2
2000-02-01,59.5
2000-03-01,58.3
2000-04-01,54.6
2000-05-01,67.8
2000-06-01,49.9
2000-07-01,34.7
2000-08-01,50.8
2000-09-01,42.1
2000-10-01,67.0
2000-11-01,52.1
2000-12-01,47.0
2001-01-01,44.2
2001-02-01,52.2
2001-03-01,64.7
2001-04-01,83.0
2001-05-01,61.9
2001-06-01,53.1
2001-07-01,46.6
2001-08-01,52.8
2001-09-01,60.0
2001-10-01,60.6
2001-11-01,59.8
2001-12-01,40.9
2002-01-01,47.1
2002-02-01,57.1
2002-03-01,63.2
2002-04-01,75.8
2002-05-01,76.3
2002-06-01,54.6
